student_id,Survey Tier,Large Group Tier,Small Group Tier,Class Participation Tier,Final Tier
1,Tier 3,Tier 2,Tier 3,Tier 2,
2,Tier 3,Tier 2,Tier 3,Tier 3,
3,Tier 3,Tier 3,Tier 3,Tier 3,
4,Tier 3,Tier 1,Tier 3,Tier 2,
5,Tier 3,Tier 1,Tier 3,Tier 3,
6,Tier 3,Tier 1,Tier 2,Tier 2,
7,Tier 1,Tier 1,Tier 1,Tier 2,
8,Tier 2,Tier 1,Tier 1,Tier 3,
9,Tier 2,Tier 1,Tier 1,Tier 2,
10,Tier 3,Tier 1,Tier 2,Tier 3,
11,Tier 1,Tier 1,Tier 1,Tier 2,
12,Tier 1,Tier 1,Tier 1,Tier 2,
13,Tier 2,Tier 1,Tier 1,Tier 3,
14,Tier 3,Tier 1,Tier 1,Tier 3,
15,Tier 3,Tier 1,Tier 2,Tier 2,
16,Tier 2,Tier 1,Tier 1,Tier 2,
17,Tier 2,Tier 1,Tier 1,Tier 2,
18,Tier 2,Tier 1,Tier 3,Tier 3,
19,Tier 3,Tier 3,Tier 3,Tier 3,
20,Tier 3,Tier 2,Tier 2,Tier 3,
21,Tier 2,Tier 1,Tier 1,Tier 2,
22,Tier 2,Tier 1,Tier 1,Tier 3,
23,Tier 1,Tier 1,Tier 1,Tier 3,
24,Tier 2,Tier 1,Tier 1,Tier 2,
25,Tier 2,Tier 1,Tier 1,Tier 2,
26,Tier 2,Tier 1,Tier 1,Tier 3,
27,Tier 3,Tier 2,Tier 3,Tier 3,
28,Tier 2,Tier 2,Tier 3,Tier 3,
29,Tier 1,Tier 1,Tier 1,Tier 2,
30,Tier 2,Tier 1,Tier 3,Tier 3,
31,Tier 2,Tier 1,Tier 2,Tier 2,
32,Tier 1,Tier 1,Tier 1,Tier 2,
33,Tier 3,Tier 1,Tier 2,Tier 3,
34,Tier 3,Tier 2,Tier 3,Tier 3,
35,Tier 3,Tier 1,Tier 2,Tier 2,
36,Tier 3,Tier 1,Tier 1,Tier 2,
37,Tier 2,Tier 1,Tier 2,Tier 3,
38,Tier 3,Tier 1,Tier 1,Tier 2,
39,Tier 3,Tier 1,Tier 3,Tier 2,
40,Tier 2,Tier 1,Tier 1,Tier 3,
41,Tier 3,Tier 2,Tier 3,Tier 3,
42,Tier 3,Tier 3,Tier 3,Tier 3,
43,Tier 3,Tier 2,Tier 3,Tier 3,
44,Tier 1,Tier 2,Tier 1,Tier 2,
45,Tier 2,Tier 2,Tier 3,Tier 3,
46,Tier 2,Tier 1,Tier 1,Tier 2,
47,Tier 2,Tier 1,Tier 2,Tier 2,
48,Tier 3,Tier 2,Tier 3,Tier 3,
49,Tier 1,Tier 1,Tier 1,Tier 2,
50,Tier 3,Tier 1,Tier 3,Tier 3,
51,Tier 3,Tier 1,Tier 3,Tier 3,
52,Tier 1,Tier 1,Tier 1,Tier 2,
53,Tier 1,Tier 1,Tier 3,Tier 2,
54,Tier 1,Tier 1,Tier 1,Tier 2,
55,Tier 3,Tier 1,Tier 1,Tier 2,
56,Tier 3,Tier 3,Tier 3,Tier 3,
57,Tier 3,Tier 2,Tier 3,Tier 3,
58,Tier 3,Tier 2,Tier 3,Tier 3,
59,Tier 3,Tier 1,Tier 1,Tier 2,
60,Tier 2,Tier 1,Tier 2,Tier 2,
61,Tier 2,Tier 1,Tier 1,Tier 3,
62,Tier 3,Tier 1,Tier 1,Tier 2,
63,Tier 2,Tier 1,Tier 2,Tier 3,
64,Tier 2,Tier 1,Tier 3,Tier 3,
65,Tier 1,Tier 2,Tier 2,Tier 2,
66,Tier 2,Tier 1,Tier 1,Tier 3,
67,Tier 2,Tier 1,Tier 1,Tier 2,
68,Tier 3,Tier 1,Tier 2,Tier 2,
69,Tier 2,Tier 1,Tier 1,Tier 2,
70,Tier 2,Tier 3,Tier 3,Tier 3,
71,Tier 1,Tier 1,Tier 1,Tier 2,
72,Tier 3,Tier 1,Tier 3,Tier 3,
73,Tier 2,Tier 1,Tier 2,Tier 2,
74,Tier 3,Tier 2,Tier 3,Tier 3,
75,Tier 3,Tier 2,Tier 3,Tier 3,
76,Tier 3,Tier 1,Tier 2,Tier 2,
77,Tier 3,Tier 1,Tier 2,Tier 2,
78,Tier 1,Tier 1,Tier 1,Tier 2,
79,Tier 2,Tier 2,Tier 3,Tier 3,
80,Tier 2,Tier 1,Tier 3,Tier 3,
81,Tier 3,Tier 2,Tier 3,Tier 3,
82,Tier 3,Tier 2,Tier 3,Tier 3,
83,Tier 2,Tier 2,Tier 3,Tier 3,
84,Tier 3,Tier 1,Tier 3,Tier 2,
85,Tier 2,Tier 1,Tier 1,Tier 2,
86,Tier 3,Tier 2,Tier 3,Tier 3,
87,Tier 1,Tier 1,Tier 1,Tier 2,
88,Tier 3,Tier 1,Tier 1,Tier 2,
89,Tier 3,Tier 2,Tier 3,Tier 3,
90,Tier 1,Tier 1,Tier 1,Tier 2,
91,Tier 2,Tier 1,Tier 2,Tier 3,
92,Tier 3,Tier 1,Tier 1,Tier 2,
93,Tier 3,Tier 1,Tier 1,Tier 3,
94,Tier 1,Tier 1,Tier 2,Tier 3,
95,Tier 1,Tier 1,Tier 2,Tier 2,
96,Tier 2,Tier 1,Tier 1,Tier 2,
97,Tier 1,Tier 1,Tier 1,Tier 2,
98,Tier 2,Tier 1,Tier 2,Tier 2,
99,Tier 1,Tier 1,Tier 1,Tier 2,
100,Tier 3,Tier 2,Tier 3,Tier 3,
101,Tier 3,Tier 1,Tier 1,Tier 2,
102,Tier 1,Tier 1,Tier 1,Tier 2,
103,Tier 3,Tier 2,Tier 3,Tier 3,
104,Tier 1,Tier 1,Tier 2,Tier 2,
105,Tier 2,Tier 1,Tier 1,Tier 2,
106,Tier 3,Tier 3,Tier 3,Tier 3,
107,Tier 3,Tier 1,Tier 1,Tier 2,
108,Tier 2,Tier 2,Tier 2,Tier 3,
109,Tier 3,Tier 1,Tier 1,Tier 2,
110,Tier 3,Tier 1,Tier 1,Tier 3,
111,Tier 2,Tier 1,Tier 2,Tier 2,
112,Tier 2,Tier 1,Tier 1,Tier 2,
113,Tier 2,Tier 1,Tier 1,Tier 2,
114,Tier 3,Tier 2,Tier 3,Tier 3,
115,Tier 3,Tier 2,Tier 3,Tier 3,
116,Tier 2,Tier 1,Tier 2,Tier 3,
117,Tier 2,Tier 1,Tier 2,Tier 2,
118,Tier 2,Tier 1,Tier 1,Tier 2,
119,Tier 2,Tier 1,Tier 1,Tier 2,
120,Tier 2,Tier 1,Tier 1,Tier 3,
121,Tier 2,Tier 1,Tier 1,Tier 3,
122,Tier 2,Tier 3,Tier 3,Tier 3,
123,Tier 2,Tier 1,Tier 1,Tier 2,
124,Tier 2,Tier 2,Tier 2,Tier 3,
125,Tier 2,Tier 2,Tier 3,Tier 3,
126,Tier 2,Tier 1,Tier 2,Tier 3,
127,Tier 1,Tier 1,Tier 3,Tier 2,
128,Tier 2,Tier 1,Tier 1,Tier 3,
129,Tier 1,Tier 1,Tier 2,Tier 2,
130,Tier 2,Tier 1,Tier 2,Tier 3,
131,Tier 3,Tier 1,Tier 3,Tier 3,
132,Tier 2,Tier 2,Tier 1,Tier 2,
133,Tier 1,Tier 1,Tier 1,Tier 3,
134,Tier 2,Tier 2,Tier 3,Tier 3,
135,Tier 2,Tier 2,Tier 1,Tier 3,
136,Tier 3,Tier 2,Tier 3,Tier 3,
137,Tier 3,Tier 1,Tier 3,Tier 2,
138,Tier 3,Tier 1,Tier 1,Tier 2,
139,Tier 2,Tier 1,Tier 1,Tier 2,
140,Tier 3,Tier 1,Tier 3,Tier 2,
141,Tier 2,Tier 1,Tier 3,Tier 3,
142,Tier 1,Tier 1,Tier 3,Tier 3,
143,Tier 2,Tier 1,Tier 2,Tier 2,
144,Tier 1,Tier 2,Tier 3,Tier 3,
145,Tier 3,Tier 1,Tier 2,Tier 3,
146,Tier 3,Tier 1,Tier 3,Tier 2,
147,Tier 2,Tier 1,Tier 1,Tier 3,
148,Tier 1,Tier 1,Tier 1,Tier 2,
149,Tier 2,Tier 1,Tier 1,Tier 2,
150,Tier 3,Tier 2,Tier 3,Tier 3,